in s,C1 in V
-7.01160E-06,2.310E-01
-7.01120E-06,2.320E-01
-7.01080E-06,2.329E-01
-7.01040E-06,2.310E-01
-7.01000E-06,2.310E-01
-7.00960E-06,2.300E-01
-7.00920E-06,2.339E-01
-7.00880E-06,2.329E-01
-7.00840E-06,2.349E-01
-7.00800E-06,2.320E-01
-7.00760E-06,2.349E-01
-7.00720E-06,2.339E-01
-7.00680E-06,2.320E-01
-7.00640E-06,2.349E-01
-7.00600E-06,2.339E-01
-7.00560E-06,2.329E-01
-7.00520E-06,2.320E-01
-7.00480E-06,2.339E-01
-7.00440E-06,2.339E-01
-7.00400E-06,2.329E-01
-7.00360E-06,2.339E-01
-7.00320E-06,2.329E-01
-7.00280E-06,2.339E-01
-7.00240E-06,2.359E-01
-7.00200E-06,2.369E-01
-7.00160E-06,2.349E-01
-7.00120E-06,2.349E-01
-7.00080E-06,2.339E-01
-7.00040E-06,2.339E-01
-7.00000E-06,2.310E-01
-6.99960E-06,2.310E-01
-6.99920E-06,2.339E-01
-6.99880E-06,2.320E-01
-6.99840E-06,2.329E-01
-6.99800E-06,2.320E-01
-6.99760E-06,2.339E-01
-6.99720E-06,2.349E-01
-6.99680E-06,2.349E-01
-6.99640E-06,2.339E-01
-6.99600E-06,2.310E-01
-6.99560E-06,2.320E-01
-6.99520E-06,2.320E-01
-6.99480E-06,2.339E-01
-6.99440E-06,2.339E-01
-6.99400E-06,2.320E-01
-6.99360E-06,2.339E-01
-6.99320E-06,2.320E-01
-6.99280E-06,2.310E-01
-6.99240E-06,2.339E-01
-6.99200E-06,2.339E-01
-6.99160E-06,2.320E-01
-6.99120E-06,2.339E-01
-6.99080E-06,2.349E-01
-6.99040E-06,2.329E-01
-6.99000E-06,2.359E-01
-6.98960E-06,2.329E-01
-6.98920E-06,2.329E-01
-6.98880E-06,2.349E-01
-6.98840E-06,2.349E-01
-6.98800E-06,2.359E-01
-6.98760E-06,2.349E-01
-6.98720E-06,2.349E-01
-6.98680E-06,2.339E-01
-6.98640E-06,2.339E-01
-6.98600E-06,2.320E-01
-6.98560E-06,2.310E-01
-6.98520E-06,2.300E-01
-6.98480E-06,2.329E-01
-6.98440E-06,2.329E-01
-6.98400E-06,2.320E-01
-6.98360E-06,2.369E-01
-6.98320E-06,2.349E-01
-6.98280E-06,2.339E-01
-6.98240E-06,2.320E-01
-6.98200E-06,2.320E-01
-6.98160E-06,2.339E-01
-6.98120E-06,2.359E-01
-6.98080E-06,2.349E-01
-6.98040E-06,2.329E-01
-6.98000E-06,2.329E-01
-6.97960E-06,2.339E-01
-6.97920E-06,2.349E-01
-6.97880E-06,2.329E-01
-6.97840E-06,2.329E-01
-6.97800E-06,2.339E-01
-6.97760E-06,2.320E-01
-6.97720E-06,2.310E-01
-6.97680E-06,2.339E-01
-6.97640E-06,2.329E-01
-6.97600E-06,2.329E-01
-6.97560E-06,2.329E-01
-6.97520E-06,2.339E-01
-6.97480E-06,2.329E-01
-6.97440E-06,2.339E-01
-6.97400E-06,2.329E-01
-6.97360E-06,2.310E-01
-6.97320E-06,2.339E-01
-6.97280E-06,2.290E-01
-6.97240E-06,2.281E-01
-6.97200E-06,2.339E-01
-6.97160E-06,2.329E-01
-6.97120E-06,2.339E-01
-6.97080E-06,2.320E-01
-6.97040E-06,2.349E-01
-6.97000E-06,2.339E-01
-6.96960E-06,2.369E-01
-6.96920E-06,2.320E-01
-6.96880E-06,2.329E-01
-6.96840E-06,2.329E-01
-6.96800E-06,2.329E-01
-6.96760E-06,2.310E-01
-6.96720E-06,2.339E-01
-6.96680E-06,2.329E-01
-6.96640E-06,2.310E-01
-6.96600E-06,2.339E-01
-6.96560E-06,2.339E-01
-6.96520E-06,2.320E-01
-6.96480E-06,2.339E-01
-6.96440E-06,2.359E-01
-6.96400E-06,2.349E-01
-6.96360E-06,2.329E-01
-6.96320E-06,2.349E-01
-6.96280E-06,2.300E-01
-6.96240E-06,2.329E-01
-6.96200E-06,2.329E-01
-6.96160E-06,2.359E-01
-6.96120E-06,2.349E-01
-6.96080E-06,2.329E-01
-6.96040E-06,2.359E-01
-6.96000E-06,2.329E-01
-6.95960E-06,2.339E-01
-6.95920E-06,2.320E-01
-6.95880E-06,2.349E-01
-6.95840E-06,2.339E-01
-6.95800E-06,2.349E-01
-6.95760E-06,2.329E-01
-6.95720E-06,2.320E-01
-6.95680E-06,2.349E-01
-6.95640E-06,2.349E-01
-6.95600E-06,2.378E-01
-6.95560E-06,2.329E-01
-6.95520E-06,2.349E-01
-6.95480E-06,2.339E-01
-6.95440E-06,2.329E-01
-6.95400E-06,2.290E-01
-6.95360E-06,2.310E-01
-6.95320E-06,2.339E-01
-6.95280E-06,2.349E-01
-6.95240E-06,2.310E-01
-6.95200E-06,2.349E-01
-6.95160E-06,2.359E-01
-6.95120E-06,2.359E-01
-6.95080E-06,2.339E-01
-6.95040E-06,2.320E-01
-6.95000E-06,2.349E-01
-6.94960E-06,2.339E-01
-6.94920E-06,2.339E-01
-6.94880E-06,2.320E-01
-6.94840E-06,2.320E-01
-6.94800E-06,2.329E-01
-6.94760E-06,2.329E-01
-6.94720E-06,2.320E-01
-6.94680E-06,2.349E-01
-6.94640E-06,2.310E-01
-6.94600E-06,2.339E-01
-6.94560E-06,2.329E-01
-6.94520E-06,2.359E-01
-6.94480E-06,2.339E-01
-6.94440E-06,2.349E-01
-6.94400E-06,2.349E-01
-6.94360E-06,2.339E-01
-6.94320E-06,2.369E-01
-6.94280E-06,2.349E-01
-6.94240E-06,2.349E-01
-6.94200E-06,2.329E-01
-6.94160E-06,2.329E-01
-6.94120E-06,2.349E-01
-6.94080E-06,2.349E-01
-6.94040E-06,2.320E-01
-6.94000E-06,2.320E-01
-6.93960E-06,2.329E-01
-6.93920E-06,2.310E-01
-6.93880E-06,2.329E-01
-6.93840E-06,2.339E-01
-6.93800E-06,2.369E-01
-6.93760E-06,2.320E-01
-6.93720E-06,2.339E-01
-6.93680E-06,2.349E-01
-6.93640E-06,2.320E-01
-6.93600E-06,2.369E-01
-6.93560E-06,2.349E-01
-6.93520E-06,2.339E-01
-6.93480E-06,2.310E-01
-6.93440E-06,2.310E-01
-6.93400E-06,2.320E-01
-6.93360E-06,2.320E-01
-6.93320E-06,2.310E-01
-6.93280E-06,2.339E-01
-6.93240E-06,2.329E-01
-6.93200E-06,2.329E-01
-6.93160E-06,2.310E-01
-6.93120E-06,2.359E-01
-6.93080E-06,2.320E-01
-6.93040E-06,2.300E-01
-6.93000E-06,2.359E-01
-6.92960E-06,2.369E-01
-6.92920E-06,2.310E-01
-6.92880E-06,2.339E-01
-6.92840E-06,2.339E-01
-6.92800E-06,2.320E-01
-6.92760E-06,2.339E-01
-6.92720E-06,2.310E-01
-6.92680E-06,2.339E-01
-6.92640E-06,2.329E-01
-6.92600E-06,2.310E-01
-6.92560E-06,2.339E-01
-6.92520E-06,2.359E-01
-6.92480E-06,2.359E-01
-6.92440E-06,2.339E-01
-6.92400E-06,2.329E-01
-6.92360E-06,2.320E-01
-6.92320E-06,2.369E-01
-6.92280E-06,2.339E-01
-6.92240E-06,2.339E-01
-6.92200E-06,2.320E-01
-6.92160E-06,2.320E-01
-6.92120E-06,2.329E-01
-6.92080E-06,2.329E-01
-6.92040E-06,2.339E-01
-6.92000E-06,2.339E-01
-6.91960E-06,2.359E-01
-6.91920E-06,2.359E-01
-6.91880E-06,2.339E-01
-6.91840E-06,2.320E-01
-6.91800E-06,2.290E-01
-6.91760E-06,2.320E-01
-6.91720E-06,2.300E-01
-6.91680E-06,2.339E-01
-6.91640E-06,2.290E-01
-6.91600E-06,2.329E-01
-6.91560E-06,2.320E-01
-6.91520E-06,2.320E-01
-6.91480E-06,2.339E-01
-6.91440E-06,2.310E-01
-6.91400E-06,2.339E-01
-6.91360E-06,2.339E-01
-6.91320E-06,2.329E-01
-6.91280E-06,2.320E-01
-6.91240E-06,2.320E-01
-6.91200E-06,2.329E-01
-6.91160E-06,2.339E-01
-6.91120E-06,2.339E-01
-6.91080E-06,2.329E-01
-6.91040E-06,2.359E-01
-6.91000E-06,2.320E-01
-6.90960E-06,2.320E-01
-6.90920E-06,2.329E-01
