in s,C1 in V
-6.18840E-06,2.3334E-01
-6.18800E-06,2.3041E-01
-6.18760E-06,2.3041E-01
-6.18720E-06,2.3334E-01
-6.18680E-06,2.3334E-01
-6.18640E-06,2.3236E-01
-6.18600E-06,2.3236E-01
-6.18560E-06,2.3627E-01
-6.18520E-06,2.3529E-01
-6.18480E-06,2.3432E-01
-6.18440E-06,2.3139E-01
-6.18400E-06,2.3236E-01
-6.18360E-06,2.3432E-01
-6.18320E-06,2.3334E-01
-6.18280E-06,2.3236E-01
-6.18240E-06,2.3041E-01
-6.18200E-06,2.3139E-01
-6.18160E-06,2.3627E-01
-6.18120E-06,2.3432E-01
-6.18080E-06,2.3139E-01
-6.18040E-06,2.3236E-01
-6.18000E-06,2.3041E-01
-6.17960E-06,2.3139E-01
-6.17920E-06,2.3334E-01
-6.17880E-06,2.3432E-01
-6.17840E-06,2.3334E-01
-6.17800E-06,2.3432E-01
-6.17760E-06,2.3139E-01
-6.17720E-06,2.3236E-01
-6.17680E-06,2.3432E-01
-6.17640E-06,2.3529E-01
-6.17600E-06,2.3139E-01
-6.17560E-06,2.3334E-01
-6.17520E-06,2.3334E-01
-6.17480E-06,2.3432E-01
-6.17440E-06,2.3236E-01
-6.17400E-06,2.2943E-01
-6.17360E-06,2.2943E-01
-6.17320E-06,2.3139E-01
-6.17280E-06,2.3139E-01
-6.17240E-06,2.3529E-01
-6.17200E-06,2.3725E-01
-6.17160E-06,2.3236E-01
-6.17120E-06,2.3236E-01
-6.17080E-06,2.3334E-01
-6.17040E-06,2.3432E-01
-6.17000E-06,2.3627E-01
-6.16960E-06,2.3529E-01
-6.16920E-06,2.3139E-01
-6.16880E-06,2.3432E-01
-6.16840E-06,2.3139E-01
-6.16800E-06,2.3236E-01
-6.16760E-06,2.3432E-01
-6.16720E-06,2.3627E-01
-6.16680E-06,2.3236E-01
-6.16640E-06,2.3334E-01
-6.16600E-06,2.3432E-01
-6.16560E-06,2.3334E-01
-6.16520E-06,2.3236E-01
-6.16480E-06,2.3432E-01
-6.16440E-06,2.3139E-01
-6.16400E-06,2.3139E-01
-6.16360E-06,2.3529E-01
-6.16320E-06,2.3041E-01
-6.16280E-06,2.3236E-01
-6.16240E-06,2.3041E-01
-6.16200E-06,2.3432E-01
-6.16160E-06,2.3432E-01
-6.16120E-06,2.3041E-01
-6.16080E-06,2.3432E-01
-6.16040E-06,2.3041E-01
-6.16000E-06,2.3236E-01
-6.15960E-06,2.3529E-01
-6.15920E-06,2.3334E-01
-6.15880E-06,2.3139E-01
-6.15840E-06,2.3725E-01
-6.15800E-06,2.3236E-01
-6.15760E-06,2.3432E-01
-6.15720E-06,2.3432E-01
-6.15680E-06,2.3334E-01
-6.15640E-06,2.3334E-01
-6.15600E-06,2.3041E-01
-6.15560E-06,2.3236E-01
-6.15520E-06,2.3236E-01
-6.15480E-06,2.3432E-01
-6.15440E-06,2.3041E-01
-6.15400E-06,2.3041E-01
-6.15360E-06,2.3236E-01
-6.15320E-06,2.3432E-01
-6.15280E-06,2.3041E-01
-6.15240E-06,2.3139E-01
-6.15200E-06,2.3529E-01
-6.15160E-06,2.3139E-01
-6.15120E-06,2.3432E-01
-6.15080E-06,2.3041E-01
-6.15040E-06,2.3041E-01
-6.15000E-06,2.3236E-01
-6.14960E-06,2.3139E-01
-6.14920E-06,2.3334E-01
-6.14880E-06,2.3432E-01
-6.14840E-06,2.3334E-01
-6.14800E-06,2.3432E-01
-6.14760E-06,2.3432E-01
-6.14720E-06,2.3627E-01
-6.14680E-06,2.3627E-01
-6.14640E-06,2.3334E-01
-6.14600E-06,2.3139E-01
-6.14560E-06,2.3334E-01
-6.14520E-06,2.3334E-01
-6.14480E-06,2.3432E-01
-6.14440E-06,2.3139E-01
-6.14400E-06,2.3236E-01
-6.14360E-06,2.3529E-01
-6.14320E-06,2.3139E-01
-6.14280E-06,2.3627E-01
-6.14240E-06,2.3236E-01
-6.14200E-06,2.2846E-01
-6.14160E-06,2.3432E-01
-6.14120E-06,2.3236E-01
-6.14080E-06,2.3334E-01
-6.14040E-06,2.3432E-01
-6.14000E-06,2.3139E-01
-6.13960E-06,2.3529E-01
-6.13920E-06,2.3334E-01
-6.13880E-06,2.3236E-01
-6.13840E-06,2.3139E-01
-6.13800E-06,2.3432E-01
-6.13760E-06,2.3432E-01
-6.13720E-06,2.3432E-01
-6.13680E-06,2.3041E-01
-6.13640E-06,2.3139E-01
-6.13600E-06,2.3236E-01
-6.13560E-06,2.3236E-01
-6.13520E-06,2.3334E-01
-6.13480E-06,2.3041E-01
-6.13440E-06,2.3334E-01
-6.13400E-06,2.3432E-01
-6.13360E-06,2.3139E-01
-6.13320E-06,2.3236E-01
-6.13280E-06,2.3432E-01
-6.13240E-06,2.3529E-01
-6.13200E-06,2.3334E-01
-6.13160E-06,2.3432E-01
-6.13120E-06,2.3236E-01
-6.13080E-06,2.3432E-01
-6.13040E-06,2.3236E-01
-6.13000E-06,2.3139E-01
-6.12960E-06,2.3334E-01
-6.12920E-06,2.3139E-01
-6.12880E-06,2.3139E-01
-6.12840E-06,2.3627E-01
-6.12800E-06,2.3334E-01
-6.12760E-06,2.3529E-01
-6.12720E-06,2.3139E-01
-6.12680E-06,2.3139E-01
-6.12640E-06,2.2846E-01
-6.12600E-06,2.3139E-01
-6.12560E-06,2.3236E-01
-6.12520E-06,2.3334E-01
-6.12480E-06,2.3041E-01
-6.12440E-06,2.3432E-01
-6.12400E-06,2.3334E-01
-6.12360E-06,2.3236E-01
-6.12320E-06,2.3725E-01
-6.12280E-06,2.3432E-01
-6.12240E-06,2.3432E-01
-6.12200E-06,2.3334E-01
-6.12160E-06,2.3432E-01
-6.12120E-06,2.3627E-01
-6.12080E-06,2.3529E-01
-6.12040E-06,2.3432E-01
-6.12000E-06,2.3432E-01
-6.11960E-06,2.3334E-01
-6.11920E-06,2.3432E-01
-6.11880E-06,2.3725E-01
-6.11840E-06,2.3725E-01
-6.11800E-06,2.3334E-01
-6.11760E-06,2.3236E-01
-6.11720E-06,2.3334E-01
-6.11680E-06,2.3529E-01
-6.11640E-06,2.3432E-01
-6.11600E-06,2.3432E-01
-6.11560E-06,2.3236E-01
-6.11520E-06,2.3041E-01
-6.11480E-06,2.3529E-01
-6.11440E-06,2.3236E-01
-6.11400E-06,2.3236E-01
-6.11360E-06,2.3041E-01
-6.11320E-06,2.3236E-01
-6.11280E-06,2.3139E-01
-6.11240E-06,2.3041E-01
-6.11200E-06,2.3139E-01
-6.11160E-06,2.3334E-01
-6.11120E-06,2.3139E-01
-6.11080E-06,2.3041E-01
-6.11040E-06,2.3041E-01
-6.11000E-06,2.3236E-01
-6.10960E-06,2.3236E-01
-6.10920E-06,2.3236E-01
-6.10880E-06,2.3432E-01
-6.10840E-06,2.3432E-01
-6.10800E-06,2.3432E-01
-6.10760E-06,2.3725E-01
-6.10720E-06,2.3432E-01
-6.10680E-06,2.3432E-01
-6.10640E-06,2.3432E-01
-6.10600E-06,2.3432E-01
-6.10560E-06,2.3236E-01
-6.10520E-06,2.3041E-01
-6.10480E-06,2.3432E-01
-6.10440E-06,2.3432E-01
-6.10400E-06,2.3432E-01
-6.10360E-06,2.3139E-01
-6.10320E-06,2.3432E-01
-6.10280E-06,2.3725E-01
-6.10240E-06,2.3139E-01
-6.10200E-06,2.3529E-01
-6.10160E-06,2.3236E-01
-6.10120E-06,2.3334E-01
-6.10080E-06,2.3627E-01
-6.10040E-06,2.3334E-01
-6.10000E-06,2.3139E-01
-6.09960E-06,2.3334E-01
-6.09920E-06,2.3334E-01
-6.09880E-06,2.3627E-01
-6.09840E-06,2.3041E-01
-6.09800E-06,2.3334E-01
-6.09760E-06,2.3432E-01
-6.09720E-06,2.3432E-01
-6.09680E-06,2.3236E-01
-6.09640E-06,2.3236E-01
-6.09600E-06,2.3139E-01
-6.09560E-06,2.3236E-01
-6.09520E-06,2.3236E-01
-6.09480E-06,2.3432E-01
-6.09440E-06,2.3432E-01
-6.09400E-06,2.3041E-01
-6.09360E-06,2.3432E-01
-6.09320E-06,2.3236E-01
-6.09280E-06,2.3139E-01
-6.09240E-06,2.3334E-01
-6.09200E-06,2.3334E-01
-6.09160E-06,2.3529E-01
-6.09120E-06,2.3041E-01
-6.09080E-06,2.3041E-01
-6.09040E-06,2.3334E-01
-6.09000E-06,2.3236E-01
-6.08960E-06,2.3627E-01
-6.08920E-06,2.3432E-01
-6.08880E-06,2.3139E-01
-6.08840E-06,2.3139E-01
-6.08800E-06,2.3432E-01
-6.08760E-06,2.3334E-01
-6.08720E-06,2.3139E-01
-6.08680E-06,2.3139E-01
-6.08640E-06,2.3432E-01
-6.08600E-06,2.3334E-01
-6.08560E-06,2.3041E-01
-6.08520E-06,2.3432E-01
-6.08480E-06,2.3334E-01
-6.08440E-06,2.3725E-01
-6.08400E-06,2.3236E-01
-6.08360E-06,2.3236E-01
-6.08320E-06,2.3432E-01
-6.08280E-06,2.3432E-01
-6.08240E-06,2.3432E-01
-6.08200E-06,2.3236E-01
-6.08160E-06,2.3432E-01
-6.08120E-06,2.3334E-01
