distance_cm,count,time_s,rate_cps,sigma_count,rate_cps_calc,sigma_rate_cps,u_cps_cm2,sigma_u_cps_cm2,rel_sigma_u
1.0,572402,30.0,19080.06667,756.5725345265978,19080.066666666666,25.219084484219927,19080.066666666666,25.219084484219927,0.001321750333728
2.0,318063,30.0,10602.1,563.9707439220584,10602.1,18.799024797401948,42408.4,75.19609918960779,0.0017731416226409
3.0,213033,30.0,7101.1,461.554980473616,7101.1,15.3851660157872,63909.9,138.4664941420848,0.0021665891222186
4.0,145712,30.0,4857.066667,381.7224122317159,4857.066666666667,12.724080407723864,77713.06666666667,203.5852865235818,0.002619704706762
5.0,34525,10.0,3452.5,185.8090417606205,3452.5,18.580904176062045,86312.5,464.5226044015511,0.0053818694210172
5.0,102585,30.0,3419.5,320.2889320597888,3419.5,10.676297735326294,85487.5,266.90744338315733,0.0031221809432157
5.0,105416,30.0,3513.866667,324.6783023240081,3513.866666666667,10.822610077466935,87846.66666666667,270.5652519366734,0.0030799717530925
6.0,79477,30.0,2649.233333,281.916654350182,2649.233333333333,9.397221811672733,95372.4,338.2999852202184,0.0035471476571861
7.0,63087,30.0,2102.9,251.17125631727848,2102.9,8.37237521057595,103042.1,410.2463853182216,0.0039813472873536
8.0,50060,30.0,1668.666667,223.7409216035368,1668.6666666666667,7.458030720117893,106794.66666666669,477.3139660875452,0.0044694550859675
9.0,40512,30.0,1350.4,201.275930006546,1350.4,6.709197666884866,109382.4,543.4450110176741,0.0049683039594822
10.0,110117,100.0,1101.17,331.8388162948994,1101.17,3.318388162948994,110117.0,331.8388162948994,0.0030135112316436
10.0,32896,30.0,1096.533333,181.37254478007412,1096.5333333333333,6.0457514926691385,109653.33333333331,604.5751492669139,0.0055135136423903
10.0,33132,30.0,1104.4,182.02197669512327,1104.4,6.067399223170776,110440.0,606.7399223170776,0.005493842107181
15.0,15877,30.0,529.2333333,126.00396819148196,529.2333333333333,4.200132273049399,119077.5,945.0297614361148,0.0079362579953065
16.0,139686,300.0,465.62,373.7459029875779,465.62,1.2458196766252596,119198.72,318.92983721606646,0.0026756146141172
17.0,124886,300.0,416.2866667,353.392133472153,416.2866666666667,1.17797377824051,120306.84666666668,340.4344219115074,0.0028297177703838
20.0,3071,10.0,307.1,55.41660400998964,307.1,5.541660400998964,122840.0,2216.664160399586,0.018045133184627
20.0,30231,100.0,302.31,173.87064157010522,302.31,1.738706415701052,120924.0,695.4825662804209,0.0057514022549735
25.0,38871,200.0,194.355,197.15729760777307,194.355,0.9857864880388654,121471.875,616.1165550242908,0.0050720922437748
30.0,40553,300.0,135.1766667,201.37775448147195,135.17666666666668,0.6712591816049065,121659.0,604.1332634444159,0.0049657917905326
30.0,13696,100.0,136.96,117.02991070662236,136.96,1.1702991070662234,123264.0,1053.269196359601,0.0085448240878082
35.0,19683,200.0,98.415,140.29611541307906,98.415,0.7014805770653953,120558.375,859.3137069051093,0.0071277811011064
40.0,7917,100.0,79.17,88.97752525216691,79.17,0.8897752525216691,126672.0,1423.6404040346706,0.0112387931352995
40.0,2251,30.0,75.03333333,47.44470465710583,75.03333333333333,1.581490155236861,120053.33333333331,2530.3842483789776,0.0210771677730368
45.0,12140,200.0,60.7,110.18166816671456,60.7,0.5509083408335728,122917.5,1115.589390187985,0.0090759199478348
50.0,4945,100.0,49.45,70.32069396699666,49.45,0.7032069396699666,123625.0,1758.0173491749165,0.0142205650084927
50.0,9640,200.0,48.2,98.18350166906862,48.2,0.4909175083453431,120500.0,1227.2937708633576,0.0101850105465838
55.0,8105,200.0,40.525,90.02777349240623,40.525,0.4501388674620311,122588.125,1361.6700740726442,0.0111076833426781
60.0,3354,100.0,33.54,57.91372894228103,33.54,0.5791372894228103,120744.0,2084.894241922117,0.0172670628927492
60.0,6809,200.0,34.045,82.516664983505,34.045,0.412583324917525,122562.0,1485.2999697030898,0.0121187641332802
62.0,9177,300.0,30.59,95.79665964948882,30.59,0.3193221988316294,117587.96,1227.4745323087834,0.0104387773400336
62.0,9275,300.0,30.91666667,96.30680142129113,30.916666666666668,0.3210226714043037,118843.66666666669,1234.011148878143,0.0103834826330233
65.0,5539,200.0,27.695,74.42445834535849,27.695,0.3721222917267924,117011.375,1572.2166825456982,0.0134364431026103
65.0,5602,200.0,28.01,74.84650960465692,28.01,0.3742325480232846,118342.25,1581.132515398377,0.0133606764735196
70.0,2486,100.0,24.86,49.85980344927164,24.86,0.4985980344927164,121814.0,2443.1303690143104,0.0200562363030054
70.0,726,30.0,24.2,26.94438717061496,24.2,0.8981462390204986,118580.0,4400.916571200443,0.0371134809512602
72.0,6648,300.0,22.16,81.53526844255803,22.16,0.2717842281418601,114877.44,1408.9294386874028,0.0122646312338384
75.0,3992,200.0,19.96,63.182275995725256,19.96,0.3159113799786263,112275.0,1777.0015123797727,0.0158272234458229
75.0,4099,200.0,20.495,64.02343321003646,20.495,0.3201171660501823,115284.375,1800.6590590322755,0.015619281095398
80.0,538,30.0,17.93333333,23.194827009486403,17.933333333333334,0.7731609003162134,114773.33333333331,4948.229762023766,0.0431130613559226
80.0,2480,150.0,16.53333333,49.79959839195493,16.533333333333335,0.3319973226130329,105813.33333333334,2124.7828647234105,0.0200804832225624
80.0,3524,200.0,17.62,59.36328831862332,17.62,0.2968164415931166,112768.0,1899.6252261959464,0.0168454280132302
80.0,3591,200.0,17.955,59.924953066314536,17.955,0.2996247653315727,114912.0,1917.5984981220647,0.0166875391440586
85.0,429,30.0,14.3,20.71231517720798,14.3,0.6904105059069326,103317.5,4988.215905177588,0.0482804549585267
85.0,1506,100.0,15.06,38.80721582386451,15.06,0.3880721582386451,108808.5,2803.821343274211,0.0257684036015036
85.0,3087,200.0,15.435,55.5607775323564,15.435,0.277803887661782,111517.875,2007.1330883563755,0.0179983082385346
90.0,6870,500.0,13.74,82.8854631404084,13.74,0.1657709262808168,111294.0,1342.744502874616,0.0120648417962748
90.0,6842,500.0,13.684,82.71638289964086,13.684,0.1654327657992817,110840.4,1340.005402974182,0.0120895034930781
90.0,8087,600.0,13.47833333,89.92774877644831,13.478333333333332,0.1498795812940805,109174.5,1214.024608482052,0.0111200381818286
