distance_cm,K_est,sigma_K
1.0,117744.96505777225,28065.978318467387
2.0,127460.50391576336,21773.451732627655
3.0,141996.0600118045,18856.983610392243
4.0,146037.69051842808,15855.432510823217
5.0,146458.74752021438,13444.897633957306
6.0,150147.85928503753,11950.333080962426
7.0,154079.33087784072,10826.08155012859
8.0,153630.25319158955,9668.361758691803
9.0,152733.6750976184,8710.300039010926
10.0,150153.4232880529,7800.226461810103
15.0,152146.40192397812,5653.030892409751
16.0,151214.85811412462,5194.98801224749
17.0,151711.755723183,4938.44928592717
20.0,150786.10425667695,4299.622468567372
25.0,149775.8257853112,3500.832112363495
30.0,150209.36263273627,2968.952890662943
35.0,148738.92564112428,2705.6974515286192
40.0,155122.71466090297,2763.085858292481
45.0,153492.7588887508,2467.3827754595195
50.0,152970.40429656178,2234.7351059593584
55.0,155662.5112257731,2435.5710638085993
60.0,156283.79353134922,2219.8292367145036
62.0,152066.36553789178,1871.3422016888844
65.0,152242.35290646183,2036.0134278632183
70.0,158137.4976157655,3119.1274676676894
72.0,150656.64775410132,2255.3406490697707
75.0,150067.62034280458,2078.879640751765
80.0,148782.05282561725,1878.0936474581906
85.0,147823.93518269568,2352.6756835140645
90.0,149873.3241818511,1456.574983729504
